Policy_Number,Customer_ID,Vehicle_ID,Vehicle_Make,Policy_Start_Date,Policy_End_Date,Premium_Amount,Claim_Number,Payment_Date,Payment_Method,Coverage_Type,Agent_ID,Region_Name,Policy_Term,Deductible,Claim_Date,Claim_Amount,Claim_Status,Claim_Type
P45587224,CUST1553,V577132,Kia,11/22/2022,5/25/2025,1753,CLM4098,10/14/2024,Bank Transfer,Third Party,AG103,North,12 months,959,8/21/2023,9301,Denied,Accident
P46571848,CUST1554,V673293,Honda,11/8/2023,7/8/2024,893,CLM1420,9/29/2024,Cash,Comprehensive,AG100,West,12 months,959,4/20/2024,9301,Pending,Accident
P48654437,CUST1555,V845596,Kia,6/3/2023,12/6/2025,1510,CLM2428,4/10/2024,Credit Card,Third Party,AG100,South,12 months,959,10/1/2023,9301,Pending,Accident
P85134597,CUST1556,V492692,Mercedes,7/3/2022,8/9/2025,1256,CLM3595,3/30/2023,Bank Transfer,Collision,AG101,Central,12 months,959,9/26/2023,9301,Approved,Accident
P73055965,CUST1557,V354508,Nissan,2/15/2022,10/11/2025,578,CLM5120,3/11/2024,Bank Transfer,Comprehensive,AG104,West,12 months,959,6/21/2023,9301,Approved,Accident
P16046693,CUST1558,V436304,Volkswagen,4/11/2023,10/10/2025,1372,CLM2253,10/15/2023,Bank Transfer,Third Party,AG103,West,12 months,959,6/1/2024,9301,Denied,Accident
P15687247,CUST1559,V150705,BMW,12/6/2023,12/4/2024,1111,CLM7414,6/26/2024,Cash,Collision,AG103,South,12 months,959,12/10/2024,9301,Approved,Accident
P90274812,CUST1560,V189147,BMW,7/3/2023,5/4/2025,1479,CLM3086,6/11/2024,Cash,Collision,AG103,Central,12 months,959,7/27/2024,9301,Denied,Accident
P40651030,CUST1561,V401045,Ford,7/2/2023,9/14/2025,1747,CLM5438,1/7/2024,Bank Transfer,Collision,AG101,West,12 months,959,10/25/2023,9301,Approved,Accident
P64882148,CUST1562,V501593,Mercedes,3/28/2022,9/23/2024,1789,CLM9579,11/7/2023,Cash,Third Party,AG104,South,12 months,959,5/26/2024,9638,Approved,Accident
P85116122,CUST1563,V446976,Ford,2/19/2023,5/19/2025,1664,CLM2958,6/15/2023,Credit Card,Third Party,AG104,Central,12 months,959,5/19/2023,9301,Denied,Accident
P96379774,CUST1564,V102065,Hyundai,11/17/2023,10/24/2024,836,CLM1209,10/21/2023,Cash,Collision,AG101,North,12 months,959,11/6/2024,9301,Pending,Accident
P94179199,CUST1565,V265961,Chevrolet,10/21/2022,1/20/2025,1632,CLM8013,7/19/2023,Bank Transfer,Comprehensive,AG100,Central,12 months,959,9/26/2023,9301,Approved,Accident
P19381417,CUST1566,V269423,Mercedes,3/7/2022,7/31/2024,1908,CLM1773,1/24/2023,Bank Transfer,Comprehensive,AG100,North,12 months,959,2/10/2024,9301,Approved,Accident
P91010161,CUST1567,V604545,BMW,1/20/2023,9/25/2024,1043,CLM1429,8/4/2023,Bank Transfer,Collision,AG103,West,12 months,959,2/5/2024,9301,Approved,Accident
P67313480,CUST1568,V272547,Hyundai,6/15/2022,1/26/2025,1060,CLM1745,1/10/2023,Credit Card,Comprehensive,AG104,Central,12 months,959,6/3/2024,9301,Denied,Accident
P85696520,CUST1569,V848516,Volkswagen,9/3/2022,10/2/2024,693,CLM6340,9/30/2023,Credit Card,Comprehensive,AG108,East,12 months,959,9/24/2023,9301,Pending,Accident
P49655279,CUST1570,V354254,Chevrolet,3/9/2023,6/28/2025,1737,CLM1696,8/11/2023,Cash,Third Party,AG104,East,12 months,959,8/14/2024,9638,Approved,Accident
P24412507,CUST1571,V769568,Nissan,3/10/2023,10/11/2024,977,CLM8484,8/8/2024,Credit Card,Collision,AG101,West,12 months,959,6/13/2024,9301,Approved,Accident
P51399996,CUST1572,V667073,Volkswagen,3/6/2023,3/16/2025,998,CLM6839,4/20/2024,Cash,Third Party,AG101,South,12 months,959,8/19/2024,9301,Denied,Accident
P37282499,CUST1573,V819697,Hyundai,3/6/2023,8/5/2025,1577,CLM2570,10/13/2023,Cash,Third Party,AG105,North,12 months,959,10/13/2023,9301,Pending,Accident
P44034328,CUST1574,V452201,Hyundai,12/27/2023,2/19/2025,1029,CLM7604,1/20/2023,Bank Transfer,Collision,AG101,North,12 months,959,12/7/2024,9301,Pending,Accident
P51248752,CUST1575,V837247,Ford,7/20/2022,1/16/2024,595,CLM2809,1/22/2023,Credit Card,Comprehensive,AG108,Central,12 months,959,2/10/2023,9301,Pending,Accident
P34827697,CUST1576,V839353,Mercedes,8/8/2023,2/28/2024,906,CLM4213,5/14/2023,Cash,Comprehensive,AG103,Central,12 months,959,10/5/2023,9301,Pending,Accident
P89272306,CUST1577,V522941,Chevrolet,4/11/2023,12/14/2025,1022,CLM3312,12/22/2023,Cash,Comprehensive,AG101,East,12 months,959,6/8/2023,9301,Pending,Accident
P98936679,CUST1578,V215545,Honda,10/24/2023,5/1/2024,1737,CLM1768,1/16/2024,Bank Transfer,Collision,AG103,West,12 months,959,2/9/2023,9301,Approved,Accident
P85314458,CUST1579,V442636,Toyota,9/29/2023,2/6/2025,1741,CLM5904,4/5/2024,Bank Transfer,Comprehensive,AG103,West,12 months,959,7/31/2024,9301,Pending,Accident
P97449611,CUST1580,V947515,Mercedes,4/18/2023,10/19/2025,801,CLM8546,1/26/2024,Cash,Third Party,AG104,South,12 months,959,9/27/2023,9301,Pending,Accident
P96800183,CUST1581,V593397,Kia,1/20/2023,3/31/2025,980,CLM7798,9/7/2024,Credit Card,Comprehensive,AG101,West,12 months,959,6/12/2023,9301,Denied,Accident
P35531609,CUST1582,V188202,Chevrolet,2/24/2023,1/17/2025,962,CLM8504,11/25/2023,Bank Transfer,Third Party,AG100,East,12 months,959,6/10/2024,9301,Pending,Accident
P94502064,CUST1583,V336591,Volkswagen,10/28/2023,11/27/2025,1160,CLM9839,11/8/2024,Credit Card,Collision,AG104,West,12 months,959,5/14/2023,9301,Denied,Accident
P71528921,CUST1584,V562741,BMW,3/17/2023,6/19/2024,646,CLM2339,6/6/2024,Cash,Third Party,AG104,Central,12 months,959,9/1/2023,9638,Approved,Accident
P92772207,CUST1585,V716472,Nissan,4/18/2023,3/16/2024,1682,CLM8240,11/26/2024,Bank Transfer,Comprehensive,AG103,South,12 months,959,8/5/2023,9301,Pending,Accident
P45596400,CUST1586,V619475,Toyota,9/4/2023,9/29/2025,940,CLM5613,2/7/2023,Credit Card,Comprehensive,AG105,East,12 months,959,11/19/2023,9301,Approved,Accident
P68324408,CUST1587,V697519,Hyundai,9/18/2023,11/19/2024,610,CLM9329,7/11/2024,Credit Card,Collision,AG101,East,12 months,959,8/19/2023,9301,Denied,Accident
P14719528,CUST1588,V554362,Kia,3/5/2022,4/4/2024,1543,CLM2896,6/10/2024,Cash,Third Party,AG104,East,12 months,959,10/6/2023,9638,Approved,Accident
P51312006,CUST1589,V713902,Honda,10/5/2022,9/8/2024,1055,CLM8846,8/12/2023,Bank Transfer,Third Party,AG104,Central,12 months,959,3/13/2023,9301,Pending,Accident
P75121613,CUST1590,V494444,Mercedes,2/17/2022,2/16/2024,1260,CLM2966,8/29/2023,Credit Card,Collision,AG103,South,12 months,959,11/24/2024,9301,Approved,Accident
P99860387,CUST1591,V347652,Hyundai,7/14/2022,8/22/2024,749,CLM1229,2/12/2023,Credit Card,Comprehensive,AG103,North,12 months,959,6/20/2023,9301,Pending,Accident
P35856703,CUST1592,V699958,Toyota,11/29/2023,12/20/2024,839,CLM7550,2/9/2023,Cash,Third Party,AG106,West,12 months,959,4/9/2024,9301,Pending,Accident
P51153949,CUST1593,V178879,Nissan,10/15/2023,10/3/2024,645,CLM3655,12/3/2024,Bank Transfer,Comprehensive,AG104,South,12 months,959,1/18/2023,9301,Pending,Accident
P99697606,CUST1594,V909747,Kia,10/30/2022,1/28/2024,700,CLM9960,8/14/2024,Cash,Collision,AG108,West,12 months,959,8/10/2024,9301,Denied,Accident
P37982945,CUST1595,V667181,Mercedes,11/28/2022,11/5/2024,1976,CLM6146,12/31/2024,Cash,Third Party,AG100,East,12 months,959,1/10/2024,9301,Approved,Accident
P80137055,CUST1596,V657719,Nissan,5/24/2022,10/15/2025,1525,CLM6389,6/21/2023,Cash,Third Party,AG101,Central,12 months,959,11/27/2024,9301,Denied,Accident
P13144270,CUST1597,V413370,Kia,3/20/2022,5/26/2025,1562,CLM7648,3/12/2023,Cash,Collision,AG104,North,12 months,959,8/30/2024,9301,Approved,Accident
P21892445,CUST1598,V735716,Toyota,6/29/2022,12/25/2024,1796,CLM9541,10/3/2023,Bank Transfer,Collision,AG100,West,12 months,959,10/12/2023,9301,Approved,Accident
P35858567,CUST1599,V322980,Nissan,2/2/2023,4/8/2024,1681,CLM6054,11/8/2023,Credit Card,Comprehensive,AG103,South,12 months,959,7/18/2024,9301,Approved,Accident
P52366931,CUST1600,V606491,Chevrolet,4/25/2023,4/9/2025,1790,CLM3938,9/2/2024,Cash,Third Party,AG104,South,12 months,959,1/4/2023,9638,Approved,Accident
P82182802,CUST1601,V257741,Mercedes,1/10/2023,1/13/2025,1996,CLM4148,1/6/2023,Credit Card,Comprehensive,AG100,South,12 months,959,5/6/2024,9301,Approved,Accident
P28959297,CUST1602,V252472,BMW,3/18/2022,6/19/2024,900,CLM2990,11/1/2023,Cash,Third Party,AG104,South,12 months,959,7/31/2024,9638,Approved,Accident
P84356001,CUST1603,V722607,Hyundai,5/28/2022,3/31/2024,948,CLM7517,4/13/2023,Credit Card,Third Party,AG103,South,12 months,959,1/15/2023,9301,Pending,Accident
P91618343,CUST1604,V462608,Ford,4/11/2022,4/9/2024,925,CLM2172,12/17/2024,Cash,Third Party,AG104,West,12 months,959,5/23/2023,9638,Approved,Accident
P36187208,CUST1605,V804357,Chevrolet,5/10/2023,1/20/2024,575,CLM8967,11/3/2024,Cash,Third Party,AG103,South,12 months,959,12/7/2024,9301,Denied,Accident
P93968289,CUST1606,V286030,Volkswagen,4/20/2023,4/3/2024,640,CLM3191,5/9/2024,Credit Card,Collision,AG102,South,12 months,959,7/15/2024,9301,Approved,Accident
P24001460,CUST1607,V790969,Volkswagen,8/7/2022,6/12/2025,1410,CLM9739,3/29/2023,Cash,Third Party,AG104,East,12 months,959,12/7/2024,9638,Approved,Accident
P45435577,CUST1608,V835737,Mercedes,6/14/2022,8/4/2025,1892,CLM7327,5/21/2024,Cash,Third Party,AG104,West,12 months,959,1/3/2024,9638,Approved,Accident
P17122852,CUST1609,V662463,Nissan,7/14/2022,4/25/2025,967,CLM2554,5/25/2023,Bank Transfer,Comprehensive,AG100,North,12 months,959,4/14/2023,9301,Approved,Accident
P57025357,CUST1610,V646450,Kia,4/28/2022,5/2/2024,1573,CLM7177,11/28/2023,Cash,Third Party,AG104,North,12 months,959,10/21/2024,9638,Approved,Accident
P65183706,CUST1611,V257109,Hyundai,6/4/2023,5/29/2024,856,CLM7932,12/5/2024,Cash,Collision,AG100,Central,12 months,959,5/21/2023,9301,Denied,Accident
P87567518,CUST1612,V728378,Nissan,3/2/2023,10/31/2024,1178,CLM3902,3/17/2023,Cash,Third Party,AG104,North,12 months,959,9/28/2023,9638,Approved,Accident
P81603024,CUST1613,V937309,Nissan,2/15/2023,9/3/2025,1275,CLM9958,11/30/2024,Cash,Collision,AG104,West,12 months,959,2/8/2024,9301,Pending,Accident
P94134622,CUST1614,V129256,Toyota,7/22/2023,7/2/2025,1297,CLM6483,9/13/2023,Cash,Third Party,AG104,Central,12 months,959,4/10/2023,9638,Approved,Accident
P59189222,CUST1615,V323874,BMW,9/2/2022,8/20/2025,632,CLM6844,12/1/2024,Credit Card,Collision,AG102,West,12 months,959,5/22/2023,9301,Pending,Accident
P62128450,CUST1616,V903740,Honda,1/13/2022,3/19/2024,1024,CLM8385,4/5/2024,Credit Card,Collision,AG101,South,12 months,959,12/22/2023,9301,Pending,Accident
P28027546,CUST1617,V392138,Volkswagen,8/26/2023,9/11/2024,1205,CLM3711,12/15/2024,Bank Transfer,Comprehensive,AG103,North,12 months,959,9/1/2024,9301,Denied,Accident
P61276804,CUST1618,V907373,Nissan,4/13/2023,9/4/2025,1139,CLM4216,12/13/2023,Cash,Third Party,AG103,North,12 months,959,11/20/2023,9301,Denied,Accident
P40198745,CUST1619,V711864,Hyundai,5/18/2023,1/4/2025,586,CLM1658,10/12/2023,Bank Transfer,Third Party,AG101,South,12 months,959,8/7/2024,9301,Pending,Accident
P38647798,CUST1620,V873234,Toyota,9/4/2022,7/24/2025,730,CLM1053,1/8/2024,Bank Transfer,Third Party,AG106,North,12 months,959,6/17/2024,9301,Denied,Accident
P32035987,CUST1621,V412661,Mercedes,8/3/2023,2/16/2024,1814,CLM7353,9/30/2023,Bank Transfer,Collision,AG101,South,12 months,959,9/3/2024,9301,Approved,Accident
P65776263,CUST1622,V511560,Mercedes,7/8/2022,5/29/2025,1863,CLM4598,9/11/2024,Cash,Third Party,AG104,Central,12 months,959,12/15/2024,9638,Approved,Accident
P77165590,CUST1623,V786329,Nissan,11/6/2022,9/26/2024,1962,CLM2185,7/8/2023,Bank Transfer,Third Party,AG103,South,12 months,959,6/25/2023,9301,Denied,Accident
P45912797,CUST1624,V843192,Ford,2/14/2022,6/24/2024,719,CLM8688,4/20/2024,Credit Card,Comprehensive,AG103,South,12 months,959,12/10/2023,9301,Approved,Accident
P10287493,CUST1625,V220348,Volkswagen,3/10/2022,4/5/2024,1452,CLM2990,5/29/2023,Credit Card,Comprehensive,AG103,Central,12 months,959,6/1/2023,9301,Pending,Accident
P84972738,CUST1626,V455099,BMW,3/21/2022,4/21/2024,1537,CLM6014,12/7/2024,Cash,Third Party,AG104,Central,12 months,959,5/14/2024,9638,Approved,Accident
P20064932,CUST1627,V964745,Mercedes,4/12/2023,1/21/2024,901,CLM7435,1/17/2023,Credit Card,Third Party,AG103,Central,12 months,959,3/13/2024,9301,Pending,Accident
P84772588,CUST1628,V192488,Mercedes,9/15/2023,3/16/2024,1493,CLM7721,7/24/2024,Bank Transfer,Collision,AG100,Central,12 months,959,3/30/2023,9301,Pending,Accident
P28501743,CUST1629,V802335,Chevrolet,6/24/2023,8/18/2024,1535,CLM6577,6/2/2023,Bank Transfer,Collision,AG104,North,12 months,959,12/13/2024,9301,Pending,Accident
P14360586,CUST1630,V758895,Hyundai,5/27/2022,12/14/2025,761,CLM5214,12/30/2023,Bank Transfer,Third Party,AG101,West,12 months,959,2/11/2024,9301,Pending,Accident
P53860981,CUST1631,V263567,Ford,6/28/2023,6/9/2025,940,CLM2138,1/3/2024,Bank Transfer,Comprehensive,AG105,West,12 months,959,5/10/2023,9301,Pending,Accident
P13229454,CUST1632,V596734,Chevrolet,9/13/2023,9/12/2024,1259,CLM2499,7/18/2024,Bank Transfer,Comprehensive,AG103,South,12 months,959,2/25/2023,9301,Denied,Accident
P28203961,CUST1633,V706028,Mercedes,1/29/2022,4/26/2024,1920,CLM7400,8/1/2024,Credit Card,Comprehensive,AG100,West,12 months,959,5/25/2023,9301,Approved,Accident
P45017072,CUST1634,V121684,Honda,5/30/2022,12/13/2025,883,CLM5508,4/14/2023,Bank Transfer,Comprehensive,AG108,South,12 months,959,8/5/2023,9301,Approved,Accident
P85214654,CUST1635,V209622,Hyundai,1/7/2022,7/23/2024,1322,CLM2080,7/31/2024,Cash,Collision,AG103,South,12 months,959,4/4/2024,9301,Denied,Accident
P34809561,CUST1636,V524656,Volkswagen,3/18/2023,1/23/2025,765,CLM6313,2/6/2024,Bank Transfer,Collision,AG103,East,12 months,959,8/31/2023,9301,Denied,Accident
P78806130,CUST1637,V571629,Kia,10/28/2023,4/14/2024,1538,CLM3113,10/18/2024,Credit Card,Collision,AG100,West,12 months,959,3/11/2023,9301,Pending,Accident
P64123030,CUST1638,V773927,Hyundai,2/26/2023,5/31/2024,1643,CLM5796,9/23/2024,Credit Card,Collision,AG103,South,12 months,959,9/3/2024,9301,Pending,Accident
P22771297,CUST1639,V129308,Chevrolet,7/8/2022,8/25/2025,781,CLM4809,11/19/2023,Bank Transfer,Third Party,AG100,South,12 months,959,11/12/2024,9301,Pending,Accident
P95600618,CUST1640,V758576,BMW,1/7/2023,6/27/2025,662,CLM2731,9/15/2023,Credit Card,Collision,AG100,West,12 months,959,4/30/2023,9301,Pending,Accident
P14334300,CUST1641,V536415,Hyundai,1/20/2023,12/31/2025,1531,CLM7431,10/24/2024,Credit Card,Comprehensive,AG104,Central,12 months,959,4/14/2024,9301,Approved,Accident
P42157915,CUST1642,V200147,Toyota,3/11/2022,11/7/2024,502,CLM2365,9/17/2023,Cash,Third Party,AG102,South,12 months,959,6/2/2023,9301,Pending,Accident
P25128310,CUST1643,V905034,Toyota,2/6/2022,10/26/2025,1696,CLM8935,6/25/2023,Cash,Third Party,AG104,East,12 months,959,3/3/2023,9638,Approved,Accident
P67215458,CUST1644,V291844,Hyundai,5/8/2023,7/18/2025,1378,CLM8923,10/18/2024,Bank Transfer,Comprehensive,AG104,North,12 months,959,8/6/2023,9301,Denied,Accident
P76093845,CUST1645,V235000,Toyota,4/17/2023,6/24/2024,804,CLM1383,7/3/2023,Cash,Collision,AG100,Central,12 months,959,12/10/2023,9301,Denied,Accident
P12507392,CUST1646,V291016,Toyota,11/2/2023,10/3/2025,843,CLM4590,11/4/2024,Credit Card,Collision,AG103,North,12 months,959,4/26/2023,9301,Approved,Accident
P27779082,CUST1647,V136481,Nissan,2/10/2023,4/1/2024,514,CLM1586,12/14/2024,Cash,Comprehensive,AG103,West,12 months,959,1/2/2024,9301,Approved,Accident
P22515601,CUST1648,V474988,Toyota,4/26/2022,4/16/2025,500,CLM2000,3/13/2023,Bank Transfer,Collision,AG101,South,12 months,959,9/2/2024,9301,Approved,Accident
P34511582,CUST1649,V778854,BMW,12/19/2022,8/13/2024,1244,CLM4029,7/10/2024,Cash,Third Party,AG104,Central,12 months,959,1/8/2023,9638,Approved,Accident
P72866982,CUST1650,V656344,Kia,11/23/2022,8/9/2024,1040,CLM5894,8/10/2023,Bank Transfer,Comprehensive,AG101,West,12 months,959,3/17/2024,9301,Pending,Accident
P95231725,CUST1651,V993225,Hyundai,8/15/2023,6/14/2025,1485,CLM7987,5/18/2024,Cash,Comprehensive,AG103,Central,12 months,959,2/3/2024,9301,Approved,Accident
P80919464,CUST1652,V892427,Honda,2/22/2022,2/8/2025,1792,CLM9079,3/6/2024,Cash,Collision,AG107,South,12 months,959,5/14/2024,9301,Approved,Accident
P44447264,CUST1653,V496554,Honda,6/10/2023,5/30/2024,650,CLM3545,10/1/2024,Bank Transfer,Third Party,AG101,Central,12 months,959,8/13/2024,9301,Pending,Accident
P79268446,CUST1654,V791371,Kia,5/23/2023,9/22/2024,1149,CLM1432,3/28/2024,Bank Transfer,Comprehensive,AG101,Central,12 months,959,11/29/2024,9301,Denied,Accident
P20309470,CUST1655,V808710,Volkswagen,3/22/2023,8/28/2025,648,CLM7655,4/8/2024,Credit Card,Comprehensive,AG101,South,12 months,959,9/25/2023,9301,Pending,Accident
P76941122,CUST1656,V219148,Hyundai,8/17/2023,7/15/2024,1053,CLM1501,1/31/2023,Cash,Comprehensive,AG102,Central,12 months,959,6/19/2023,9301,Denied,Accident
P25146111,CUST1657,V969907,Nissan,8/24/2022,5/12/2024,1300,CLM6862,8/8/2024,Credit Card,Third Party,AG101,North,12 months,959,6/27/2024,9301,Pending,Accident
P32366483,CUST1658,V951001,Toyota,10/14/2022,5/23/2024,1619,CLM6434,6/28/2023,Credit Card,Comprehensive,AG101,East,12 months,959,6/15/2023,9301,Approved,Accident
P72411078,CUST1659,V411454,Mercedes,7/18/2022,6/21/2025,1324,CLM5853,7/14/2024,Bank Transfer,Collision,AG104,North,12 months,959,8/2/2023,9301,Denied,Accident
P57912955,CUST1660,V187137,Mercedes,6/17/2023,12/6/2025,992,CLM9104,5/27/2023,Cash,Third Party,AG103,North,12 months,959,1/26/2023,9301,Pending,Accident
P69062600,CUST1661,V484121,Chevrolet,6/11/2022,12/29/2025,654,CLM6371,3/22/2024,Credit Card,Third Party,AG103,South,12 months,959,12/25/2023,9301,Denied,Accident
P22208706,CUST1662,V405850,Ford,9/27/2022,8/23/2025,1397,CLM5487,9/17/2023,Credit Card,Collision,AG101,North,12 months,959,4/21/2023,9301,Denied,Accident
P85240232,CUST1663,V302604,Ford,7/14/2023,3/29/2024,800,CLM6131,4/17/2024,Cash,Third Party,AG104,West,12 months,959,1/29/2023,9638,Approved,Accident
P74561965,CUST1664,V849821,Mercedes,10/11/2023,12/17/2025,661,CLM5370,5/28/2023,Credit Card,Collision,AG103,South,12 months,959,7/8/2024,9301,Denied,Accident
P44724597,CUST1665,V256122,Volkswagen,1/19/2022,1/22/2025,1393,CLM4672,8/12/2024,Credit Card,Comprehensive,AG100,South,12 months,959,10/29/2024,9301,Denied,Accident
P74317950,CUST1666,V315223,Ford,10/2/2022,9/30/2025,1902,CLM6004,3/28/2024,Credit Card,Collision,AG101,South,12 months,959,9/23/2024,9301,Denied,Accident
P20420279,CUST1667,V579761,Hyundai,11/30/2022,7/9/2024,1101,CLM8273,9/18/2023,Credit Card,Collision,AG104,Central,12 months,959,3/22/2023,9301,Pending,Accident
P43723255,CUST1668,V462608,Kia,8/14/2022,3/21/2024,1377,CLM1192,6/18/2023,Credit Card,Third Party,AG100,Central,12 months,959,12/16/2023,9301,Denied,Accident
P54590033,CUST1669,V722533,Toyota,9/5/2023,6/12/2025,966,CLM1702,9/2/2023,Bank Transfer,Third Party,AG102,Central,12 months,959,8/23/2023,9301,Denied,Accident
P28108157,CUST1670,V114288,Chevrolet,8/7/2022,9/11/2025,1112,CLM1467,8/5/2023,Bank Transfer,Comprehensive,AG103,South,12 months,959,1/7/2024,9301,Approved,Accident
P89872878,CUST1671,V656880,Mercedes,9/29/2022,11/3/2025,1820,CLM7640,2/6/2024,Cash,Third Party,AG104,Central,12 months,959,2/25/2023,9638,Approved,Accident
P17882902,CUST1672,V698787,Ford,3/18/2022,5/29/2025,1503,CLM3567,2/17/2024,Bank Transfer,Collision,AG101,Central,12 months,959,3/7/2023,9301,Denied,Accident
P31381059,CUST1673,V843006,Hyundai,10/12/2022,2/12/2025,608,CLM5843,1/10/2024,Cash,Third Party,AG104,South,12 months,959,10/9/2024,9638,Approved,Accident
P25837121,CUST1674,V361886,Mercedes,5/30/2023,1/15/2025,1840,CLM4905,4/15/2024,Cash,Third Party,AG100,Central,12 months,959,3/14/2024,9301,Approved,Accident
P98529322,CUST1675,V151559,Hyundai,10/3/2023,9/3/2024,1749,CLM3690,10/16/2023,Cash,Collision,AG104,North,12 months,959,8/7/2024,9301,Denied,Accident
P29380438,CUST1676,V298219,Chevrolet,4/20/2022,10/22/2024,1646,CLM6863,5/23/2024,Cash,Collision,AG103,West,12 months,959,1/24/2023,9301,Approved,Accident
P82893448,CUST1677,V743369,Volkswagen,11/18/2023,12/17/2025,664,CLM1578,5/7/2023,Credit Card,Comprehensive,AG103,East,12 months,959,12/4/2024,9301,Approved,Accident
P68883223,CUST1678,V813563,Mercedes,6/18/2022,7/22/2025,983,CLM2994,11/21/2023,Credit Card,Comprehensive,AG101,East,12 months,959,10/19/2023,9301,Approved,Accident
P58603342,CUST1679,V566872,Chevrolet,2/19/2022,7/12/2025,1600,CLM6026,10/5/2023,Credit Card,Comprehensive,AG100,East,12 months,959,6/24/2023,9301,Denied,Accident
P37354138,CUST1680,V631513,Nissan,1/20/2023,2/2/2025,1481,CLM6511,5/8/2024,Cash,Collision,AG106,North,12 months,959,10/7/2024,9301,Denied,Accident
P33398364,CUST1681,V101829,Mercedes,11/1/2022,6/27/2024,1973,CLM7206,3/31/2023,Credit Card,Comprehensive,AG103,South,12 months,959,1/27/2024,9301,Approved,Accident
P47524531,CUST1682,V437548,Toyota,4/10/2022,3/22/2025,1706,CLM8522,4/19/2023,Credit Card,Third Party,AG101,West,12 months,959,10/24/2024,9301,Denied,Accident
P10419528,CUST1683,V358551,Kia,12/16/2022,1/23/2025,1541,CLM6045,10/8/2023,Bank Transfer,Comprehensive,AG104,Central,12 months,959,10/17/2023,9301,Pending,Accident
P90742343,CUST1684,V165788,Ford,10/15/2022,10/19/2024,1853,CLM4207,9/5/2023,Credit Card,Collision,AG103,West,12 months,959,5/7/2023,9301,Denied,Accident
P58956702,CUST1685,V430965,Kia,9/26/2022,4/1/2025,810,CLM5752,2/24/2024,Cash,Third Party,AG103,Central,12 months,959,12/18/2024,9301,Pending,Accident
P73109480,CUST1686,V610088,Nissan,3/6/2023,3/31/2024,1064,CLM7265,5/4/2023,Cash,Third Party,AG104,South,12 months,959,12/9/2023,9638,Approved,Accident
P72937286,CUST1687,V202709,Mercedes,5/8/2023,3/27/2025,1897,CLM9208,6/14/2023,Cash,Third Party,AG101,South,12 months,959,2/4/2024,9301,Approved,Accident
P52783767,CUST1688,V235933,Mercedes,7/6/2023,12/30/2025,1162,CLM9032,5/31/2024,Credit Card,Collision,AG101,East,12 months,959,2/6/2024,9301,Approved,Accident
P85179631,CUST1689,V307019,Kia,9/22/2022,6/26/2024,633,CLM3167,5/22/2024,Bank Transfer,Collision,AG103,North,12 months,959,2/14/2023,9301,Pending,Accident
P75290913,CUST1690,V802831,Kia,10/6/2022,4/23/2025,700,CLM5323,5/29/2023,Credit Card,Third Party,AG103,North,12 months,959,7/3/2023,9301,Pending,Accident
P46339716,CUST1691,V903360,Mercedes,6/14/2023,3/27/2025,1156,CLM4781,5/27/2024,Bank Transfer,Third Party,AG101,East,12 months,959,4/17/2024,9301,Denied,Accident
P77643895,CUST1692,V848988,Chevrolet,5/24/2022,11/18/2025,731,CLM1119,11/3/2023,Credit Card,Collision,AG101,West,12 months,959,7/7/2024,9301,Denied,Accident
P58247370,CUST1693,V596115,Toyota,1/21/2022,9/20/2025,1557,CLM9288,5/7/2024,Bank Transfer,Comprehensive,AG103,Central,12 months,959,3/26/2023,9301,Denied,Accident
P60769459,CUST1694,V374510,Mercedes,8/6/2022,4/3/2024,1763,CLM1652,4/17/2024,Cash,Collision,AG103,East,12 months,959,9/14/2023,9301,Pending,Accident
P78850398,CUST1695,V843136,BMW,3/31/2023,2/23/2024,1263,CLM2681,1/8/2023,Cash,Third Party,AG101,West,12 months,959,10/7/2024,9301,Denied,Accident
P92120528,CUST1696,V364715,BMW,3/5/2022,9/13/2024,1160,CLM2415,9/17/2023,Cash,Collision,AG101,Central,12 months,959,9/9/2024,9301,Pending,Accident
P86839219,CUST1697,V983586,Mercedes,5/7/2023,2/19/2024,793,CLM6747,10/1/2024,Credit Card,Comprehensive,AG104,South,12 months,959,11/9/2024,9301,Approved,Accident
P93940740,CUST1698,V938918,Mercedes,3/3/2023,4/29/2025,973,CLM9911,7/9/2024,Bank Transfer,Collision,AG103,Central,12 months,959,7/7/2023,9301,Pending,Accident
P21668068,CUST1699,V180704,Volkswagen,8/1/2023,12/18/2025,1497,CLM1568,10/8/2024,Credit Card,Collision,AG103,South,12 months,959,4/27/2024,9301,Denied,Accident
P28081274,CUST1700,V137487,Toyota,2/28/2023,7/23/2024,1319,CLM2188,9/4/2023,Credit Card,Comprehensive,AG103,North,12 months,959,5/8/2024,9301,Pending,Accident
P22099106,CUST1701,V537113,Kia,12/18/2022,12/8/2024,665,CLM9023,10/31/2023,Credit Card,Third Party,AG104,South,12 months,959,3/22/2023,9301,Pending,Accident
P78108874,CUST1702,V340424,Mercedes,6/20/2023,12/23/2024,1537,CLM2273,1/29/2024,Bank Transfer,Collision,AG104,Central,12 months,959,12/22/2024,9301,Approved,Accident
P82811359,CUST1703,V915230,Hyundai,10/24/2022,1/1/2025,1457,CLM1715,5/5/2024,Cash,Third Party,AG104,Central,12 months,959,12/5/2024,9638,Approved,Accident
